Id	Description
Q74TF8	Q74TF8
Q7CGD9	Q7CGD9
A0A5P8YB25	A0A5P8YB25
Q0WF87	Q0WF87
P58411	P58411
Q8ZAE4	Q8ZAE4
Q0WFU0	Q0WFU0
Q8ZAE1	Q8ZAE1
Q74RF8	Q74RF8
Q0WEG0	Q0WEG0
Q8Z9U3	Q8Z9U3
A0A0H2W3M7	A0A0H2W3M7
Q8D124	Q8D124
A0A2S9PCC5	A0A2S9PCC5
Q7CJG3	Q7CJG3
Q0WJZ4	Q0WJZ4
Q7CI09	Q7CI09
A0A0H2W2Y2	A0A0H2W2Y2
Q8ZAH6	Q8ZAH6
A0A5P8YCE6	A0A5P8YCE6
Q8ZA77	Q8ZA77
P68706	P68706
A0A0H2W2E8	A0A0H2W2E8
A0A3N4B157	A0A3N4B157
Q8ZD45	Q8ZD45
A0A0H2W8A6	A0A0H2W8A6
A0A2U2H088	A0A2U2H088
Q8ZAG5	Q8ZAG5
A0A5P8YE29	A0A5P8YE29
A0A2U2H2A6	A0A2U2H2A6
P69965	P69965
A0A5P8YCB4	A0A5P8YCB4
A0A3N4B5A3	A0A3N4B5A3
Q7CIC6	Q7CIC6
A0A5P8YLE9	A0A5P8YLE9
A0A2U2GY11	A0A2U2GY11
Q0WDX2	Q0WDX2
A0A3N4BJH7	A0A3N4BJH7
A0A5P8YL96	A0A5P8YL96
Q7CJM7	Q7CJM7
Q7CHI2	Q7CHI2
Q8ZCA7	Q8ZCA7
P58492	P58492
Q7CJ87	Q7CJ87
Q0WCN4	Q0WCN4
P69972	P69972
Q7CJ84	Q7CJ84
A0A2S9PGE8	A0A2S9PGE8
A0A2S9PHC7	A0A2S9PHC7
Q0WCB5	Q0WCB5
